abs 70 70 170 90 | 255 51 180
abs 110 90 130 210 | 255 51 180
abs 70 210 270 230 | 255 51 180
abs 270 130 290 230 | 255 51 180
abs 270 110 420 130 | 255 51 180
abs 400 130 420 340 | 255 51 180
abs 420 240 540 260 | 255 51 180

abs 500 70 800 90 | 255 51 180
abs 520 90 540 150 | 255 51 180
abs 740 90 760 220 | 255 51 180

abs 630 220 650 300 | 255 51 180
abs 630 300 820 320 | 255 51 180
abs 660 320 680 410 | 255 51 180
abs 800 320 820 500 | 255 51 180

abs 660 470 680 520 | 255 51 180
abs 360 500 660 520 | 255 51 180
abs 340 470 360 520 | 255 51 180

abs 220 400 520 420 | 255 51 180
abs 520 370 540 440 | 255 51 180
abs 200 300 220 500 | 255 51 180
abs 80 480 200 500 | 255 51 180
abs 80 340 200 360 | 255 51 180
abs 80 430 100 480 | 255 51 180
